iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
150,0.873078032721,0.889214697657,0.880893968519,0.11015625,0.0975,0.1035,0.0976265145102,0.0863365552122,0.094673602202,2550.0034345
160,0.87286473297,0.889192531522,0.880826455553,0.1103125,0.0975,0.105,0.0977213183957,0.0863365552122,0.0959972433204,2702.840637
170,0.872711333681,0.888976770858,0.88069038992,0.1103125,0.0975,0.105,0.0976559020942,0.086403970998,0.0960100136133,2856.0886131
180,0.872356426656,0.888976697562,0.880420756285,0.11046875,0.0975,0.105,0.0977857625013,0.086403970998,0.0959867852431,3009.5352482
190,0.872339104518,0.888898137241,0.88027132467,0.11046875,0.096875,0.1045,0.0978810484707,0.0858960190198,0.0952373989638,3163.6533672
200,0.872162882358,0.888732728085,0.880258459258,0.110625,0.096875,0.1045,0.0981189087406,0.0859238517306,0.0952381090176,3316.681869
210,0.872042819361,0.888705552212,0.880036559491,0.11078125,0.096875,0.1045,0.0980586971214,0.0859082708422,0.0952357927874,3468.8403437
220,0.871708216944,0.888612080978,0.88005420578,0.11078125,0.096875,0.1045,0.098008923143,0.0859417869457,0.0951444355666,3620.7759172
230,0.871195240502,0.888342880741,0.879521632289,0.1115625,0.0975,0.1055,0.0987987376692,0.0864489147013,0.0962954966685,3772.6764334
240,0.870981907879,0.888322096734,0.879303609472,0.11171875,0.09875,0.1055,0.0988355495959,0.0873361210994,0.0962255973333,3924.5585843
250,0.870545176245,0.888237125945,0.879068757648,0.11234375,0.09875,0.106,0.0993377902099,0.0874631550137,0.096623653463,4083.2058468
260,0.870338631942,0.888094317898,0.879019574212,0.11265625,0.09875,0.106,0.0996557539594,0.0876861057387,0.096623653463,4240.6523735
270,0.870264631187,0.888169537557,0.878924881433,0.11234375,0.098125,0.106,0.0992644147532,0.0872171834417,0.0964709961064,4392.7400059
280,0.869932077608,0.8879111394,0.878682889616,0.1128125,0.09875,0.1075,0.099585223106,0.0874198084603,0.0975769404737,4544.8964924
290,0.869681369802,0.887838183384,0.878435623964,0.1134375,0.09875,0.108,0.100118379249,0.0875220727899,0.0979524807178,4696.8554594
300,0.869574074016,0.887641519792,0.878703274331,0.113125,0.09875,0.107,0.0998452185654,0.0872569493049,0.0966526618961,4853.9963005
310,0.868266031803,0.886334483792,0.877287374776,0.11453125,0.099375,0.1085,0.100419400368,0.0871801487925,0.0975855522401,5008.1523697
320,0.868199221131,0.886378556952,0.877404845801,0.1146875,0.1,0.1085,0.100647680616,0.0879968233343,0.0975704520116,5160.0501418
330,0.868058920802,0.886318034917,0.877096926767,0.11453125,0.1,0.1085,0.100374821167,0.0876655200587,0.0975015438813,5313.4403197
340,0.867789201349,0.886278670039,0.876912408716,0.11484375,0.1,0.109,0.10061184162,0.087463939712,0.0978009147122,5465.7848185
350,0.867397085849,0.886150238988,0.876660296455,0.11546875,0.1,0.109,0.100955471763,0.0875657499299,0.09791799279,5618.7427792
360,0.867289297551,0.886132927128,0.876671947013,0.115625,0.1,0.109,0.101202148278,0.0874745867667,0.097900272909,5771.9436781
370,0.867224051604,0.886276557354,0.876672184462,0.115625,0.099375,0.109,0.101145621453,0.0869237500665,0.097900272909,5925.8822496
380,0.867077378149,0.886177625371,0.876589122961,0.115625,0.1,0.109,0.101090815117,0.0873644303445,0.0979107114357,6079.935663
390,0.866949168327,0.886153982744,0.876397285395,0.11625,0.1,0.1095,0.101637518004,0.0873644303445,0.0982956866814,6234.5811441
400,0.866807321045,0.885992511373,0.876260195979,0.11640625,0.100625,0.11,0.101834779715,0.0880712487562,0.0986028085119,6389.3306215
410,0.86641292899,0.885600535353,0.875973747773,0.11671875,0.100625,0.1105,0.102057875556,0.0880040666974,0.0989121150453,6544.1111883
420,0.86613598446,0.88540833353,0.875740369854,0.11671875,0.100625,0.1105,0.101976037154,0.0880232026319,0.0988417491762,6697.1265614
430,0.865973719872,0.885245898065,0.875823041183,0.11703125,0.100625,0.11,0.102274437574,0.0880632927539,0.0982668348962,6849.9751079
440,0.865786757371,0.885235091705,0.875640164536,0.1175,0.100625,0.11,0.102776419069,0.088102914131,0.0985004658998,7002.3599809
450,0.865395362348,0.885029426755,0.875411512708,0.11796875,0.1,0.1105,0.103229566819,0.0876829501431,0.0988644914418,7154.8159126
