mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
145.4098919391632,0.15358915328979492,0.837,0.9731875000000001,relu,3.1622776601683795e-09,"(1568, 1568)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795e-09, 'MLP__hidden_layer_sizes': (1568, 1568)}",295,0.83875,0.96359375,0.84125,0.98,0.828125,0.9825,0.82125,0.9521875,0.855625,0.98765625,16.99487513575125,0.016928284403670703,0.011788500752852316,0.013232668499777374
95.45812830924987,0.09877004623413085,0.841125,0.9850312499999999,relu,3.1622776601683795e-09,"(784, 784, 784)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795e-09, 'MLP__hidden_layer_sizes': (784, 784, 784)}",262,0.85125,0.994375,0.85625,0.99,0.808125,0.9640625,0.825,0.98125,0.865,0.99546875,11.805504172897113,0.0064558722445988885,0.021214676523576784,0.01161827762622325
47.795431184768674,0.06383132934570312,0.849375,0.9876875,relu,3.1622776601683795e-09,"(392, 392, 392)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795e-09, 'MLP__hidden_layer_sizes': (392, 392, 392)}",118,0.855625,0.9884375,0.859375,0.99046875,0.82875,0.9778125,0.850625,0.98890625,0.8525,0.9928125,16.081490438485982,0.004075867487606782,0.01073108801566738,0.005168451472636661
310.25335998535155,0.2307264804840088,0.846,0.9858750000000001,relu,3.1622776601683795e-09,"(1568, 1568, 1568)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795e-09, 'MLP__hidden_layer_sizes': (1568, 1568, 1568)}",191,0.84125,0.9834375,0.85,0.9821875,0.83375,0.98953125,0.848125,0.9903125,0.856875,0.98390625,56.265661498171596,0.026525902512288074,0.00789184705883231,0.0033607918523764746
228.7002845287323,0.046262931823730466,0.856125,1.0,relu,1e-09,"(784,)","{'MLP__activation': 'relu', 'MLP__alpha': 1e-09, 'MLP__hidden_layer_sizes': (784,)}",33,0.853125,1.0,0.86125,1.0,0.84125,1.0,0.854375,1.0,0.870625,1.0,34.40567422837107,0.00099623958471352,0.009693747985170621,0.0
125.14859085083008,0.038259696960449216,0.856,1.0,relu,1e-09,"(392,)","{'MLP__activation': 'relu', 'MLP__alpha': 1e-09, 'MLP__hidden_layer_sizes': (392,)}",35,0.85,1.0,0.865625,1.0,0.840625,1.0,0.85625,1.0,0.8675,1.0,7.598962802302538,0.001990575032430355,0.00997340212765937,0.0
389.78885250091554,0.06773433685302735,0.85875,1.0,relu,1e-09,"(1568,)","{'MLP__activation': 'relu', 'MLP__alpha': 1e-09, 'MLP__hidden_layer_sizes': (1568,)}",6,0.8575,1.0,0.861875,1.0,0.8425,1.0,0.860625,1.0,0.87125,1.0,19.43142307040451,0.0030611375578317146,0.009329054078522622,0.0
161.0020941734314,0.07827544212341309,0.85,0.9879999999999999,relu,1e-09,"(784, 784)","{'MLP__activation': 'relu', 'MLP__alpha': 1e-09, 'MLP__hidden_layer_sizes': (784, 784)}",96,0.84125,0.98140625,0.851875,0.979375,0.839375,0.99046875,0.859375,1.0,0.858125,0.98875,199.77346293299516,0.0069945116733725055,0.008329165624478841,0.007328374862478033
202.4330385684967,0.057193946838378903,0.852,0.99903125,relu,1e-09,"(392, 392)","{'MLP__activation': 'relu', 'MLP__alpha': 1e-09, 'MLP__hidden_layer_sizes': (392, 392)}",63,0.850625,1.0,0.85875,1.0,0.836875,0.998125,0.855625,1.0,0.858125,0.99703125,154.10440157540154,0.00937377257110085,0.008085480814398107,0.0012358574958303069
152.6877571105957,0.14366679191589354,0.849125,0.9848750000000001,relu,1e-09,"(1568, 1568)","{'MLP__activation': 'relu', 'MLP__alpha': 1e-09, 'MLP__hidden_layer_sizes': (1568, 1568)}",125,0.85625,0.99,0.85625,0.984375,0.8425,0.991875,0.845625,0.9846875,0.845,0.9734375,27.130788986620516,0.0077195456700623185,0.005910795208768426,0.006424440637129433
87.87930326461792,0.09916191101074219,0.8515,0.9845312500000001,relu,1e-09,"(784, 784, 784)","{'MLP__activation': 'relu', 'MLP__alpha': 1e-09, 'MLP__hidden_layer_sizes': (784, 784, 784)}",70,0.861875,0.98578125,0.848125,0.984375,0.83125,0.9859375,0.851875,0.9878125,0.864375,0.97875,19.291967713146807,0.00838653973263544,0.011789826122551571,0.003090433828769028
169.0570105075836,0.06402578353881835,0.8515,0.99075,relu,1e-09,"(392, 392, 392)","{'MLP__activation': 'relu', 'MLP__alpha': 1e-09, 'MLP__hidden_layer_sizes': (392, 392, 392)}",70,0.8525,0.99484375,0.858125,0.99140625,0.84875,0.98828125,0.850625,1.0,0.8475,0.97921875,253.93079452315254,0.007724305018108485,0.00372071901653431,0.006954371377054861
251.2944564819336,0.21335277557373047,0.849,0.98146875,relu,1e-09,"(1568, 1568, 1568)","{'MLP__activation': 'relu', 'MLP__alpha': 1e-09, 'MLP__hidden_layer_sizes': (1568, 1568, 1568)}",128,0.83625,0.96875,0.86125,0.9853125,0.84875,0.98875,0.8475,0.98578125,0.85125,0.97875,38.71929190692955,0.01760664423748175,0.007999999999999967,0.007149082108914416
24.35623984336853,0.0546565055847168,0.744875,0.7474999999999999,logistic,10.0,"(784,)","{'MLP__activation': 'logistic', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (784,)}",362,0.7525,0.76296875,0.750625,0.748125,0.734375,0.73703125,0.744375,0.73421875,0.7425,0.75515625,8.589200626515016,0.007635289671363091,0.00643962343619561,0.010809970802458232
9.706306219100952,0.03884491920471191,0.748,0.7516875000000001,logistic,10.0,"(392,)","{'MLP__activation': 'logistic', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (392,)}",361,0.7525,0.7634375,0.736875,0.7403125,0.73625,0.75171875,0.760625,0.74296875,0.75375,0.76,1.3375076232063017,0.001561624473010918,0.009741983884199378,0.009083703643063216
25.00645055770874,0.07027206420898438,0.733,0.7383125000000001,logistic,10.0,"(1568,)","{'MLP__activation': 'logistic', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (1568,)}",365,0.7425,0.75140625,0.746875,0.74203125,0.72875,0.738125,0.7375,0.7296875,0.709375,0.7303125,5.983620778808237,0.0016336744217138766,0.013260608960375848,0.008046131640422003
48.98400282859802,0.07827544212341309,0.502625,0.499875,logistic,10.0,"(784, 784)","{'MLP__activation': 'logistic', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (784, 784)}",372,0.53125,0.5328125,0.494375,0.4940625,0.50625,0.5071875,0.448125,0.445,0.533125,0.5203125,10.187464049931535,0.002647189572901699,0.030987396631533916,0.030335107548845115
23.336320781707762,0.052118682861328126,0.523,0.52259375,logistic,10.0,"(392, 392)","{'MLP__activation': 'logistic', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (392, 392)}",370,0.46,0.46359375,0.57125,0.57375,0.533125,0.53484375,0.530625,0.51875,0.52,0.52203125,1.9952165391232763,0.005643626358641116,0.035963088716071095,0.03539241510373372
159.2745761871338,0.16123557090759277,0.503875,0.5007187500000001,logistic,10.0,"(1568, 1568)","{'MLP__activation': 'logistic', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (1568, 1568)}",371,0.515625,0.52921875,0.449375,0.4440625,0.466875,0.4678125,0.5275,0.50953125,0.56,0.55296875,27.059497219792632,0.015337069059429038,0.04046101518746163,0.03978121317751633
101.873171043396,0.10521297454833985,0.1,0.1,logistic,10.0,"(784, 784, 784)","{'MLP__activation': 'logistic', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (784, 784, 784)}",374,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,24.03285333770442,0.006602567686474326,0.0,0.0
51.30434160232544,0.07046689987182617,0.1,0.1,logistic,10.0,"(392, 392, 392)","{'MLP__activation': 'logistic', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (392, 392, 392)}",374,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,17.239220256364913,0.006745000362148792,0.0,0.0
311.55729393959047,0.26137337684631345,0.1,0.1,logistic,10.0,"(1568, 1568, 1568)","{'MLP__activation': 'logistic', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (1568, 1568, 1568)}",374,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,60.16353991089859,0.02678844521778187,0.0,0.0
26.22313003540039,0.056607818603515624,0.788375,0.799875,logistic,3.1622776601683795,"(784,)","{'MLP__activation': 'logistic', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (784,)}",355,0.7825,0.800625,0.8025,0.8021875,0.779375,0.8028125,0.784375,0.79109375,0.793125,0.80265625,5.409943915382246,0.003652484010014724,0.008409444095777065,0.004458357671273125
18.358727645874023,0.0427492618560791,0.7995,0.81153125,logistic,3.1622776601683795,"(392,)","{'MLP__activation': 'logistic', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (392,)}",348,0.7925,0.81296875,0.805625,0.80625,0.790625,0.8115625,0.805625,0.80859375,0.803125,0.81828125,5.7876055440074285,0.0031111623860484456,0.006571719714047466,0.004102447821118491
38.107864904403684,0.07729878425598144,0.785875,0.79778125,logistic,3.1622776601683795,"(1568,)","{'MLP__activation': 'logistic', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (1568,)}",357,0.78375,0.79984375,0.794375,0.795,0.7725,0.79203125,0.801875,0.803125,0.776875,0.79890625,11.674018864069353,0.003971849085365196,0.010887205793958361,0.003869704042300907
61.05671501159668,0.0776902675628662,0.721875,0.7261249999999999,logistic,3.1622776601683795,"(784, 784)","{'MLP__activation': 'logistic', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (784, 784)}",367,0.731875,0.73890625,0.705,0.7103125,0.7325,0.74203125,0.748125,0.744375,0.691875,0.695,17.396261546743943,0.0036300360754365026,0.020428992877770575,0.019840526312953514
