mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_Boost__base_estimator__max_depth,param_Boost__n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
11.06726369857788,0.0737187385559082,0.7185,0.7415624999999999,3,60,"{'Boost__base_estimator__max_depth': 3, 'Boost__n_estimators': 60}",365,0.7275,0.7546875,0.725,0.76015625,0.71625,0.73921875,0.715625,0.73109375,0.708125,0.72265625,2.4772696841061372,0.008059886399971737,0.006988830374247185,0.014074994449377223
9.420000171661377,0.07460064888000488,0.7185,0.7415624999999999,3,80,"{'Boost__base_estimator__max_depth': 3, 'Boost__n_estimators': 80}",365,0.7275,0.7546875,0.725,0.76015625,0.71625,0.73921875,0.715625,0.73109375,0.708125,0.72265625,1.2706097374268805,0.004694697259856772,0.006988830374247185,0.014074994449377223
9.341011476516723,0.07180848121643066,0.7185,0.7415624999999999,3,100,"{'Boost__base_estimator__max_depth': 3, 'Boost__n_estimators': 100}",365,0.7275,0.7546875,0.725,0.76015625,0.71625,0.73921875,0.715625,0.73109375,0.708125,0.72265625,1.2518241936697754,0.006938370807728363,0.006988830374247185,0.014074994449377223
1.0691396236419677,0.02373661994934082,0.622875,0.6340937500000001,4,1,"{'Boost__base_estimator__max_depth': 4, 'Boost__n_estimators': 1}",383,0.641875,0.6315625,0.62375,0.64359375,0.603125,0.63390625,0.616875,0.63078125,0.62875,0.630625,0.012818649804130531,0.004652181443693718,0.012824537028680598,0.004892796043674813
1.3924744606018067,0.02233996391296387,0.622875,0.6340937500000001,4,2,"{'Boost__base_estimator__max_depth': 4, 'Boost__n_estimators': 2}",383,0.641875,0.6315625,0.62375,0.64359375,0.603125,0.63390625,0.616875,0.63078125,0.62875,0.630625,0.012778400084581146,0.0007979155210141108,0.012824537028680598,0.004892796043674813
2.4330907821655274,0.027526283264160158,0.710625,0.724625,4,5,"{'Boost__base_estimator__max_depth': 4, 'Boost__n_estimators': 5}",371,0.731875,0.71578125,0.718125,0.74140625,0.6725,0.70671875,0.714375,0.73453125,0.71625,0.7246875,0.008844107045509059,0.0013528313274878627,0.02003512540514785,0.01247873190672836
4.166852855682373,0.036901235580444336,0.732,0.7495,4,10,"{'Boost__base_estimator__max_depth': 4, 'Boost__n_estimators': 10}",363,0.76375,0.7503125,0.714375,0.7396875,0.713125,0.7565625,0.74375,0.76203125,0.725,0.73890625,0.02309874427737271,0.0021856820975762535,0.01929783018890986,0.009122324093946683
7.465827798843383,0.05485410690307617,0.75575,0.7795,4,20,"{'Boost__base_estimator__max_depth': 4, 'Boost__n_estimators': 20}",357,0.785,0.789375,0.75375,0.784375,0.745625,0.78328125,0.753125,0.77140625,0.74125,0.7690625,0.2658740776362071,0.006147777195755628,0.015357205149375342,0.0078743799359061
8.688357257843018,0.05485377311706543,0.7565,0.7801250000000001,4,30,"{'Boost__base_estimator__max_depth': 4, 'Boost__n_estimators': 30}",352,0.785,0.789375,0.758125,0.78703125,0.73875,0.78046875,0.753125,0.77140625,0.7475,0.77234375,1.1866156512023283,0.0036235200323349826,0.015635496474368828,0.007347671825142997
8.715085697174072,0.0552520751953125,0.7565,0.7801250000000001,4,45,"{'Boost__base_estimator__max_depth': 4, 'Boost__n_estimators': 45}",352,0.785,0.789375,0.758125,0.78703125,0.73875,0.78046875,0.753125,0.77140625,0.7475,0.77234375,1.1557224282038825,0.0039693121534605585,0.015635496474368828,0.007347671825142997
