iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
820,1.53E-33,0.186745507,0.195729029,1,0.81125,0.8025,1,0.812118169,0.802551012,67486.9514
830,7.80E-24,0.185210567,0.194913651,1,0.81375,0.8025,1,0.814536682,0.802429395,68376.6976
840,4.38E-32,0.185504408,0.195787531,1,0.81375,0.8015,1,0.814487512,0.801312299,69126.10197
850,1.66E-32,0.184461245,0.196473096,1,0.815,0.7995,1,0.815766892,0.799451283,69854.74988
860,5.73E-24,0.18516303,0.197156866,1,0.81375,0.801,1,0.814358971,0.800819391,70591.47463
870,3.12E-18,0.185663485,0.198191344,1,0.81125,0.8,1,0.811864943,0.799672423,71386.78043
880,2.12E-33,0.184877701,0.198276389,1,0.813125,0.8,1,0.813444479,0.799491152,72196.32599
890,1.61E-31,0.184656093,0.198498187,1,0.8125,0.7995,1,0.812998928,0.798852111,73007.18466
900,3.08E-33,0.183858033,0.200125651,1,0.814375,0.798,1,0.814948945,0.797525754,73772.20569
910,3.22E-32,0.18276206,0.198619621,1,0.815,0.799,1,0.815567772,0.798438372,74501.80801
920,3.61E-31,0.182600868,0.19785035,1,0.81625,0.8005,1,0.816767263,0.800028534,75222.97054
930,2.36E-33,0.182420959,0.197970058,1,0.815,0.8,1,0.815511514,0.799477257,75944.10913
940,7.75E-34,0.183419481,0.197561856,1,0.815625,0.8005,1,0.816265777,0.800008599,76664.38571
950,3.85E-31,0.182641829,0.19795494,1,0.81625,0.8005,1,0.816889197,0.800128284,77384.96497
960,5.68E-33,0.181730265,0.198558602,1,0.81625,0.799,1,0.816808823,0.7987233,78105.9675
970,1.43E-33,0.182656148,0.19944252,1,0.816875,0.798,1,0.817351695,0.79779292,78842.29928
980,8.44E-27,0.182830112,0.198292705,1,0.815625,0.8,1,0.81605057,0.799774293,79571.11626
990,3.42E-33,0.183645679,0.197621996,1,0.815625,0.801,1,0.816082943,0.800709237,80422.37394
